"configuration","benchmark","pre_greedy_stack_ops","post_greedy_spill_loads","post_greedy_spill_stores","post_greedy_spill_slots","final_ldsp_stsp_count","final_stack_frame_size","final_function_size","final_short_branches","final_long_branches"
"cost0-regs8-avgtrue","bubble4","0","2","2","2","4","4","110","7","0"
"cost0-regs8-avgtrue","float","0","15","14","11","40","26","311","1","2"
"cost0-regs8-avgtrue","struct_copy","0","11","8","7","27","14","228","3","0"
