"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"cost0-regs12-avgfalse","0","12","false","False","bubble1","1408254","113","64","0","90","0","0","0","0","2","0","3","3","7","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","bubble2","1257054","106","128","0","83","0","0","0","0","2","0","2","3","7","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","bubble4","1836730","130","256","0","107","4","4","0","0","3","0","4","2","7","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","constant_arith","7849378","235","130","0","211","8","8","1","14","3","5","10","8","1","2","False","0"
"cost0-regs12-avgfalse","0","12","false","False","crc16","762440","106","656","0","83","0","0","1","3","2","1","2","2","3","0","True","512"
"cost0-regs12-avgfalse","0","12","false","False","divmod","1034298","692","164","0","344","10","15","4","13","9","6","4","5","3","1","False","0"
"cost0-regs12-avgfalse","0","12","false","False","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","fir8","8770540","179","114","0","155","2","2","0","4","3","0","2","1","4","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","fixed_point","11609348","417","258","0","220","6","8","1","6","7","1","6","6","7","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","float","881658","250","134","0","226","8","16","0","7","9","0","3","3","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","loop_control","20271868","107","34","0","84","0","0","0","2","4","0","2","0","4","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","mixed_width","3142866","463","260","0","266","18","30","1","6","10","0","9","5","2","1","False","0"
"cost0-regs12-avgfalse","0","12","false","False","multiply","911005","238","258","0","214","4","8","7","10","3","0","6","7","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","pointer_walk","1000732","98","258","0","75","0","0","0","2","2","1","2","0","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","progmem_walk","3209957","178","2","0","154","10","21","4","3","5","0","7","1","2","1","False","0"
"cost0-regs12-avgfalse","0","12","false","False","progmem_widen_ldp16","573604","168","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","progmem_widen_ldp32_bytes","737024","232","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","progmem_widen_ldp32_words","573593","171","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","record_scan","1564880","242","290","0","218","4","8","8","4","6","0","6","4","7","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","reverse_walk","2593084","99","258","0","76","0","0","0","2","2","1","2","2","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","select","744268","181","194","0","123","4","4","1","2","2","0","2","1","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","shifts","491985","441","116","0","345","16","22","2","6","5","6","4","3","3","1","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sieve","518627","96","900","0","73","0","0","2","2","1","0","1","1","6","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","small_memops","817203","216","66","0","192","12","12","0","1","3","0","2","4","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","stack_array","897447","458","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","state_machine","7251129","211","130","0","187","4","4","7","3","3","1","4","1","14","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","string_scan","28897549","621","386","0","597","12","14","5","14","10","7","14","19","34","2","False","0"
"cost0-regs12-avgfalse","0","12","false","False","struct_copy","606888","395","196","0","198","8","14","0","4","11","1","1","6","3","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_memcmp","3062","182","266","0","158","2","7","4","5","4","0","3","4","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_memcmp_p","5303","161","74","0","137","4","9","0","5","1","0","2","4","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strcmp","2838","222","280","0","198","4","13","3","10","2","0","8","5","4","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strcmp_p","5691","162","133","0","138","2","6","0","5","1","0","1","4","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strlen","3039","178","304","0","154","0","0","4","0","1","0","5","0","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strlen_p","7230","96","2","0","73","0","0","0","4","1","0","4","2","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strncat","2360","137","182","0","114","4","7","3","0","1","0","2","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strncat_p","3580","145","144","0","122","4","6","3","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strncpy","2291","212","115","0","188","4","4","3","2","1","0","4","3","1","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","sys_strncpy_p","3794","158","69","0","134","8","8","3","0","1","0","0","0","0","0","False","0"
"cost0-regs12-avgfalse","0","12","false","False","tail_calls","501299","87","4","0","38","0","0","0","0","1","1","0","1","1","0","False","0"
