"configuration","benchmark","pre_greedy_stack_ops","post_greedy_spill_loads","post_greedy_spill_stores","post_greedy_spill_slots","final_ldsp_stsp_count","final_stack_frame_size","final_function_size","final_short_branches","final_long_branches"
"cost1-regs8-avgtrue","bubble4","0","4","5","4","9","8","110","7","0"
"cost1-regs8-avgtrue","float","0","17","16","11","47","24","329","1","2"
"cost1-regs8-avgtrue","struct_copy","0","10","8","7","28","14","225","3","0"
