"configuration","cost_per_use","scalar_registers","average_register_costs","tail_duplication","benchmark","cycles","text_size","data_size","bss_size","function_size","stack_frame_size","ldsp_stsp_count","compact_add_sub_count","full_add_sub_count","compact_xor_count","full_xor_count","compact_mov_count","full_mov_count","short_branch_count","long_branch_count","crc_table_exists","crc_table_size"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","bubble1","1225341","125","64","0","102","0","0","0","1","1","0","1","5","8","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","bubble2","1154781","120","128","0","97","0","0","0","1","1","0","0","5","8","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","bubble4","1777069","141","256","0","118","6","7","0","0","3","0","4","0","8","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","call_args","289179","201","4","0","94","16","8","0","0","3","2","9","3","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","constant_arith","7755150","232","130","0","208","8","8","7","7","6","3","6","12","1","2","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","crc16","568040","98","656","0","75","0","0","3","1","3","0","1","3","3","0","True","512"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","divmod","1029370","686","164","0","338","10","15","8","10","8","6","4","9","3","1","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","fibonacci","250048","82","2","0","14","0","0","0","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","fir8","8407376","179","114","0","155","2","2","1","4","2","0","2","1","4","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","fixed_point","11609348","416","258","0","219","6","8","1","6","7","1","6","6","7","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","float","878698","242","134","0","218","8","16","4","4","8","0","10","0","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","indirect_call","83052","107","3","0","71","0","0","0","0","1","0","0","1","2","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","loop_control","13887376","100","34","0","77","0","0","2","1","3","0","0","2","4","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","memory_services","18512","107","196","0","84","2","4","1","0","3","0","2","1","4","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","mixed_width","3142866","471","260","0","274","18","33","1","7","9","0","10","9","2","1","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","multiply","764053","224","258","0","200","4","8","13","4","3","0","8","5","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","pointer_walk","924704","99","258","0","76","0","0","0","3","1","1","0","2","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","progmem_walk","3175020","176","2","0","152","10","21","4","3","5","0","6","1","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","progmem_widen_ldp16","542476","166","6","0","51","0","0","0","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","progmem_widen_ldp32_bytes","735306","230","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","progmem_widen_ldp32_words","542465","169","6","0","54","0","0","0","0","1","0","0","0","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","record_scan","1793903","243","290","0","219","6","12","8","3","6","1","8","1","7","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","reverse_walk","1926704","96","258","0","73","0","0","2","1","2","0","2","2","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","select","744268","183","194","0","125","4","6","2","1","2","0","2","1","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","shifts","520129","452","116","0","356","16","26","2","6","5","6","5","3","3","1","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sieve","372418","97","900","0","74","0","0","3","2","1","0","1","1","6","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","small_memops","779527","244","66","0","220","12","14","0","1","3","0","3","3","2","1","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","stack_array","820167","455","4","0","206","0","0","0","0","1","15","0","15","0","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","state_machine","7193047","223","130","0","199","2","10","8","1","5","0","2","4","15","1","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","string_scan","25469691","585","386","0","561","12","14","11","12","5","8","20","14","34","2","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","struct_copy","593528","392","196","0","195","12","18","0","4","11","1","1","4","3","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","switch","936377","197","2","0","57","0","0","0","1","1","0","2","3","1","0","False","0"
"taildup-enabled-original-memory-cost1-regs12-avgfalse","1","12","false","true","sys_memcmp","3024","180","266","0","156","2","7","5","4","4","0","2","4","1","0","False","0"
